in1,in2,chances,out
c1,c1,100,c1
c1,c2,51,c1
c1,c3,53,c1
c1,c4,56,c1
c1,c5,60,c1
c1,c6,65,c1
c1,c7,71,c1
c1,c8,78,c1
c1,c9,86,c1
c1,c10,95,c1
c1,c11,100,c1
c1,c12,100,c1
c1,c13,100,c1
c1,c14,100,c1
c1,c15,100,c1
c1,c16,100,c1
c1,c17,100,c1
c1,c18,100,c1
c1,c19,100,c1
c1,c20,100,c1
c2,c1,50,c2
c2,c2,100,c2
c2,c3,53,c2
c2,c4,56,c2
c2,c5,60,c2
c2,c6,65,c2
c2,c7,71,c2
c2,c8,78,c2
c2,c9,86,c2
c2,c10,95,c2
c2,c11,100,c2
c2,c12,100,c2
c2,c13,100,c2
c2,c14,100,c2
c2,c15,100,c2
c2,c16,100,c2
c2,c17,100,c2
c2,c18,100,c2
c2,c19,100,c2
c2,c20,100,c2
c3,c1,50,c3
c3,c2,51,c3
c3,c3,100,c3
c3,c4,56,c3
c3,c5,60,c3
c3,c6,65,c3
c3,c7,71,c3
c3,c8,78,c3
c3,c9,86,c3
c3,c10,95,c3
c3,c11,100,c3
c3,c12,100,c3
c3,c13,100,c3
c3,c14,100,c3
c3,c15,100,c3
c3,c16,100,c3
c3,c17,100,c3
c3,c18,100,c3
c3,c19,100,c3
c3,c20,100,c3
c4,c1,50,c4
c4,c2,51,c4
c4,c3,53,c4
c4,c4,100,c4
c4,c5,60,c4
c4,c6,65,c4
c4,c7,71,c4
c4,c8,78,c4
c4,c9,86,c4
c4,c10,95,c4
c4,c11,100,c4
c4,c12,100,c4
c4,c13,100,c4
c4,c14,100,c4
c4,c15,100,c4
c4,c16,100,c4
c4,c17,100,c4
c4,c18,100,c4
c4,c19,100,c4
c4,c20,100,c4
c5,c1,50,c5
c5,c2,51,c5
c5,c3,53,c5
c5,c4,56,c5
c5,c5,100,c5
c5,c6,65,c5
c5,c7,71,c5
c5,c8,78,c5
c5,c9,86,c5
c5,c10,95,c5
c5,c11,100,c5
c5,c12,100,c5
c5,c13,100,c5
c5,c14,100,c5
c5,c15,100,c5
c5,c16,100,c5
c5,c17,100,c5
c5,c18,100,c5
c5,c19,100,c5
c5,c20,100,c5
c6,c1,50,c6
c6,c2,51,c6
c6,c3,53,c6
c6,c4,56,c6
c6,c5,60,c6
c6,c6,100,c6
c6,c7,71,c6
c6,c8,78,c6
c6,c9,86,c6
c6,c10,95,c6
c6,c11,100,c6
c6,c12,100,c6
c6,c13,100,c6
c6,c14,100,c6
c6,c15,100,c6
c6,c16,100,c6
c6,c17,100,c6
c6,c18,100,c6
c6,c19,100,c6
c6,c20,100,c6
c7,c1,50,c7
c7,c2,51,c7
c7,c3,53,c7
c7,c4,56,c7
c7,c5,60,c7
c7,c6,65,c7
c7,c7,100,c7
c7,c8,78,c7
c7,c9,86,c7
c7,c10,95,c7
c7,c11,100,c7
c7,c12,100,c7
c7,c13,100,c7
c7,c14,100,c7
c7,c15,100,c7
c7,c16,100,c7
c7,c17,100,c7
c7,c18,100,c7
c7,c19,100,c7
c7,c20,100,c7
c8,c1,50,c8
c8,c2,51,c8
c8,c3,53,c8
c8,c4,56,c8
c8,c5,60,c8
c8,c6,65,c8
c8,c7,71,c8
c8,c8,100,c8
c8,c9,86,c8
c8,c10,95,c8
c8,c11,100,c8
c8,c12,100,c8
c8,c13,100,c8
c8,c14,100,c8
c8,c15,100,c8
c8,c16,100,c8
c8,c17,100,c8
c8,c18,100,c8
c8,c19,100,c8
c8,c20,100,c8
c9,c1,50,c9
c9,c2,51,c9
c9,c3,53,c9
c9,c4,56,c9
c9,c5,60,c9
c9,c6,65,c9
c9,c7,71,c9
c9,c8,78,c9
c9,c9,100,c9
c9,c10,95,c9
c9,c11,100,c9
c9,c12,100,c9
c9,c13,100,c9
c9,c14,100,c9
c9,c15,100,c9
c9,c16,100,c9
c9,c17,100,c9
c9,c18,100,c9
c9,c19,100,c9
c9,c20,100,c9
c10,c1,50,c10
c10,c2,51,c10
c10,c3,53,c10
c10,c4,56,c10
c10,c5,60,c10
c10,c6,65,c10
c10,c7,71,c10
c10,c8,78,c10
c10,c9,86,c10
c10,c10,100,c10
c10,c11,100,c10
c10,c12,100,c10
c10,c13,100,c10
c10,c14,100,c10
c10,c15,100,c10
c10,c16,100,c10
c10,c17,100,c10
c10,c18,100,c10
c10,c19,100,c10
c10,c20,100,c10
c11,c1,50,c11
c11,c2,51,c11
c11,c3,53,c11
c11,c4,56,c11
c11,c5,60,c11
c11,c6,65,c11
c11,c7,71,c11
c11,c8,78,c11
c11,c9,86,c11
c11,c10,95,c11
c11,c11,100,c11
c11,c12,100,c11
c11,c13,100,c11
c11,c14,100,c11
c11,c15,100,c11
c11,c16,100,c11
c11,c17,100,c11
c11,c18,100,c11
c11,c19,100,c11
c11,c20,100,c11
c12,c1,50,c12
c12,c2,51,c12
c12,c3,53,c12
c12,c4,56,c12
c12,c5,60,c12
c12,c6,65,c12
c12,c7,71,c12
c12,c8,78,c12
c12,c9,86,c12
c12,c10,95,c12
c12,c11,100,c12
c12,c12,100,c12
c12,c13,100,c12
c12,c14,100,c12
c12,c15,100,c12
c12,c16,100,c12
c12,c17,100,c12
c12,c18,100,c12
c12,c19,100,c12
c12,c20,100,c12
c13,c1,50,c13
c13,c2,51,c13
c13,c3,53,c13
c13,c4,56,c13
c13,c5,60,c13
c13,c6,65,c13
c13,c7,71,c13
c13,c8,78,c13
c13,c9,86,c13
c13,c10,95,c13
c13,c11,100,c13
c13,c12,100,c13
c13,c13,100,c13
c13,c14,100,c13
c13,c15,100,c13
c13,c16,100,c13
c13,c17,100,c13
c13,c18,100,c13
